Brand,Microedition.platform,Left soft keycode,Right soft keycode,tested
unknown,unknown,-6,-7,n/a
unknown,unknown,-20,-21,n/a
unknown,unknown,20,21,n/a
unknown,j2me,-6,-7,n/a
audiovox,unknown,-6,-7,no
audiovox,Cdm-8900,-20,-21,no
htc,unknown,-6,-7,n/a
htc,Qtek 8500,57345,57346,no
lg,unknown,-202,-203,n/a
lg,unknown,-6,-7,n/a
lg,unknown,-20,-21,n/a
motorola,unknown,-21,-22,n/a
motorola,unknown,21,22,n/a
motorola,A1000 ,-11,-22,no
motorola,v262,-7,-8,no
motorola,i###,-20,-21,no
nokia,all,-6,-7,n/a
panasonic,vs3,-21,-22,no
sagem,Myv-55,-7,-6,no
sagem,myx5,-7,-6,no
samsung,unknown,-6,-7,n/a
samsung,unknown,21,22,n/a
samsung,unknown,-21,-22,n/a
samsung,SGH-X507 ,-7,-6,no
samsung,a620,-8,-7,no
samsung,SGH-D600 ,-8,-7,no
samsung,SGH-D800 ,-8,-7,no
samsung,z500,-8,-7,no
sanyo,unknown,-6,-7,n/a
sanyo,unknown,21,22,n/a
sanyo,unknown,-21,-22,n/a
sanyo,7400,-8,-7,no
sanyo,7500,-8,-7,no
sanyo,8300,-8,-7,no
sanyo,8100,-8,-7,no
sharp,unknown,21,22,n/a
sharp,unknown,-21,-22,n/a
siemens,unknown,-1,-4,n/a
siemens,sf65,105,106,no
sony ericsson,all,-6,-7,n/a
