Brand,Class test
samsung,com.samsung.util.Vibration
samsung,com.samsung.util.LCDLight
samsung,com.samsung.util.OverlayKeypad
motorola,com.motorola.multimedia.Vibrator
motorola,com.motorola.graphics.j3d.Effect3D
motorola,com.motorola.multimedia.Lighting
motorola,com.motorola.multimedia.FunLight
siemens,com.siemens.mp.io.File
lg,mmpp.media.MediaPlayer
lg,mmpp.phone.Phone
lg,mmpp.lang.MathFP
lg,mmpp.media.BackLight
blackberry,net.rim.device.api.lcdui.BlackBerryCanvas 
blackberry,net.rim.blackberry.api.phone.Phone
sony ericsson,com.mascotcapsule.micro3d.v3.Graphics3D
vodafone,com.vodafone.v10.graphics.j3d.Effect3D
vodafone,com.vodafone.v10.midlet.ResidentMIDlet
vodafone,com.vodafone.v10.util.Vector2D
vodafone,com.vodafone.lcdui.SVGImage
vodafone,com.vodafone.midlet.ResidentMIDlet
vodafone,com.vodafone.util.ImageEncoder
